symbol: s34
template: <*> <*> INFO <*> map <*> reduce <*>
2846,22/11/21,20:59:45,mapreduce.Job:,0%,0%,
2847,22/11/21,20:59:51,mapreduce.Job:,100%,0%,
2928,22/11/21,21:00:17,mapreduce.Job:,0%,0%,
2929,22/11/21,21:00:27,mapreduce.Job:,100%,0%,
2930,22/11/21,21:00:39,mapreduce.Job:,100%,100%,
3015,22/11/21,21:00:50,mapreduce.Job:,0%,0%,
3016,22/11/21,21:01:00,mapreduce.Job:,100%,0%,
3102,22/11/21,21:01:23,mapreduce.Job:,0%,0%,
3103,22/11/21,21:01:33,mapreduce.Job:,100%,0%,
3104,22/11/21,21:01:41,mapreduce.Job:,100%,100%,
3214,22/11/21,21:02:08,Job:,0%,0%,
3215,22/11/21,21:02:22,Job:,100%,0%,
3273,22/11/21,21:02:32,Job:,0%,0%,
3274,22/11/21,21:02:47,Job:,46%,0%,
3275,22/11/21,21:02:50,Job:,67%,0%,
3276,22/11/21,21:03:04,Job:,100%,0%,
3277,22/11/21,21:03:13,Job:,100%,100%,
3366,22/11/21,21:03:25,Job:,0%,0%,
3367,22/11/21,21:03:40,Job:,100%,0%,
3440,22/11/21,21:04:06,Job:,100%,100%,
3605,22/11/21,21:04:39,mapreduce.Job:,0%,0%,
3606,22/11/21,21:04:46,mapreduce.Job:,33%,0%,
3607,22/11/21,21:04:47,mapreduce.Job:,67%,0%,
3608,22/11/21,21:04:48,mapreduce.Job:,100%,0%,
3609,22/11/21,21:04:52,mapreduce.Job:,100%,100%,
3694,22/11/21,21:12:09,Job:,0%,0%,
3695,22/11/21,21:12:19,Job:,100%,0%,
3696,22/11/21,21:12:29,Job:,100%,100%,
3760,22/11/21,21:03:21,Job:,100%,81%,
3761,22/11/21,21:08:42,Job:,100%,82%,
3762,22/11/21,21:13:44,Job:,100%,83%,
3763,22/11/21,21:18:41,Job:,100%,84%,
3764,22/11/21,21:23:24,Job:,100%,85%,
3765,22/11/21,21:28:07,Job:,100%,86%,
3831,22/11/21,21:31:57,Job:,100%,0%,
3832,22/11/21,21:32:08,Job:,100%,2%,
3833,22/11/21,21:32:11,Job:,100%,3%,
3834,22/11/21,21:32:18,Job:,100%,4%,
3835,22/11/21,21:32:21,Job:,100%,5%,
3836,22/11/21,21:32:24,Job:,100%,6%,
3837,22/11/21,21:32:34,Job:,100%,7%,
3838,22/11/21,21:32:37,Job:,100%,8%,
3839,22/11/21,21:32:44,Job:,100%,9%,
3840,22/11/21,21:32:47,Job:,100%,10%,
3841,22/11/21,21:32:53,Job:,100%,11%,
3842,22/11/21,21:33:00,Job:,100%,12%,
3843,22/11/21,21:33:06,Job:,100%,13%,
3844,22/11/21,21:33:12,Job:,100%,14%,
3845,22/11/21,21:33:16,Job:,100%,15%,
3846,22/11/21,21:33:19,Job:,100%,16%,
3847,22/11/21,21:33:22,Job:,100%,17%,
3848,22/11/21,21:33:25,Job:,100%,18%,
3849,22/11/21,21:33:31,Job:,100%,19%,
3850,22/11/21,21:33:35,Job:,100%,20%,
3851,22/11/21,21:33:38,Job:,100%,21%,
3852,22/11/21,21:34:03,Job:,100%,22%,
3853,22/11/21,21:34:09,Job:,100%,23%,
3854,22/11/21,21:34:40,Job:,100%,24%,
3855,22/11/21,21:34:51,Job:,100%,25%,
3856,22/11/21,21:35:05,Job:,100%,26%,
3857,22/11/21,21:35:11,Job:,100%,27%,
3858,22/11/21,21:35:24,Job:,100%,28%,
3859,22/11/21,21:35:27,Job:,100%,29%,
3860,22/11/21,21:35:46,Job:,100%,30%,
3861,22/11/21,21:35:50,Job:,100%,31%,
3862,22/11/21,21:35:56,Job:,100%,32%,
3863,22/11/21,21:36:25,Job:,100%,33%,
3887,22/11/21,21:36:30,Job:,100%,0%,
3888,22/11/21,21:36:42,Job:,100%,1%,
3889,22/11/21,21:36:45,Job:,100%,2%,
3890,22/11/21,21:36:52,Job:,100%,3%,
3891,22/11/21,21:37:01,Job:,100%,4%,
3892,22/11/21,21:37:07,Job:,100%,5%,
3893,22/11/21,21:37:15,Job:,100%,6%,
3894,22/11/21,21:37:24,Job:,100%,7%,
3895,22/11/21,21:37:31,Job:,100%,8%,
3896,22/11/21,21:37:37,Job:,100%,9%,
3897,22/11/21,21:37:46,Job:,100%,10%,
3898,22/11/21,21:37:55,Job:,100%,11%,
3899,22/11/21,21:38:08,Job:,100%,12%,
3900,22/11/21,21:38:17,Job:,100%,13%,
3901,22/11/21,21:38:24,Job:,100%,14%,
3902,22/11/21,21:38:31,Job:,100%,15%,
3903,22/11/21,21:38:40,Job:,100%,16%,
3904,22/11/21,21:38:49,Job:,100%,17%,
3905,22/11/21,21:38:58,Job:,100%,18%,
3906,22/11/21,21:39:05,Job:,100%,19%,
3907,22/11/21,21:39:11,Job:,100%,20%,
3908,22/11/21,21:39:20,Job:,100%,21%,
3909,22/11/21,21:39:30,Job:,100%,22%,
3910,22/11/21,21:39:36,Job:,100%,23%,
3911,22/11/21,21:39:45,Job:,100%,24%,
3912,22/11/21,21:39:51,Job:,100%,25%,
3913,22/11/21,21:40:01,Job:,100%,26%,
3914,22/11/21,21:40:10,Job:,100%,27%,
3915,22/11/21,21:40:17,Job:,100%,28%,
3916,22/11/21,21:40:32,Job:,100%,29%,
3917,22/11/21,21:40:47,Job:,100%,30%,
3918,22/11/21,21:41:03,Job:,100%,31%,
3919,22/11/21,21:41:19,Job:,100%,32%,
3920,22/11/21,21:41:35,Job:,100%,33%,
3944,22/11/21,21:41:46,Job:,100%,0%,
3945,22/11/21,21:41:57,Job:,100%,1%,
3946,22/11/21,21:42:00,Job:,100%,2%,
3947,22/11/21,21:42:10,Job:,100%,3%,
3948,22/11/21,21:42:16,Job:,100%,4%,
3949,22/11/21,21:42:23,Job:,100%,5%,
3950,22/11/21,21:42:29,Job:,100%,6%,
3951,22/11/21,21:42:36,Job:,100%,7%,
3952,22/11/21,21:42:40,Job:,100%,8%,
3953,22/11/21,21:42:49,Job:,100%,9%,
3954,22/11/21,21:42:55,Job:,100%,10%,
3955,22/11/21,21:43:07,Job:,100%,11%,
3956,22/11/21,21:43:20,Job:,100%,12%,
3957,22/11/21,21:43:29,Job:,100%,13%,
3958,22/11/21,21:43:36,Job:,100%,14%,
3959,22/11/21,21:43:48,Job:,100%,15%,
3960,22/11/21,21:43:57,Job:,100%,16%,
3961,22/11/21,21:44:07,Job:,100%,17%,
3962,22/11/21,21:44:16,Job:,100%,18%,
3963,22/11/21,21:44:25,Job:,100%,19%,
3964,22/11/21,21:44:35,Job:,100%,20%,
3965,22/11/21,21:44:48,Job:,100%,21%,
3966,22/11/21,21:44:54,Job:,100%,22%,
3967,22/11/21,21:45:07,Job:,100%,23%,
3968,22/11/21,21:45:13,Job:,100%,24%,
3969,22/11/21,21:45:22,Job:,100%,25%,
3970,22/11/21,21:45:31,Job:,100%,26%,
3971,22/11/21,21:45:44,Job:,100%,27%,
3972,22/11/21,21:45:50,Job:,100%,28%,
3973,22/11/21,21:46:00,Job:,100%,29%,
3974,22/11/21,21:46:13,Job:,100%,30%,
3975,22/11/21,21:46:19,Job:,100%,31%,
3976,22/11/21,21:46:35,Job:,100%,32%,
3977,22/11/21,21:46:50,Job:,100%,33%,
3978,22/11/21,21:47:01,Job:,100%,100%,
4081,22/11/21,21:50:43,Job:,0%,0%,
4082,22/11/21,21:50:56,Job:,100%,0%,
4140,22/11/22,21:51:08,Job:,0%,0%,
4141,22/11/22,21:51:23,Job:,49%,0%,
4142,22/11/22,21:51:27,Job:,67%,0%,
4143,22/11/22,21:51:43,Job:,100%,0%,
4144,22/11/22,21:51:55,Job:,100%,100%,
4230,22/11/22,21:56:33,Job:,0%,0%,
4231,22/11/22,21:56:44,Job:,100%,0%,
4232,22/11/22,21:56:53,Job:,100%,100%,
4331,22/11/22,21:57:19,mapreduce.Job:,0%,0%,
4332,22/11/22,21:57:28,mapreduce.Job:,100%,0%,
4333,22/11/22,21:57:33,mapreduce.Job:,100%,100%,
4412,22/11/22,21:57:43,mapreduce.Job:,0%,0%,
4413,22/11/22,21:57:51,mapreduce.Job:,100%,0%,
4414,22/11/22,21:57:59,mapreduce.Job:,100%,100%,
4523,22/11/22,21:58:25,mapreduce.Job:,0%,0%,
4524,22/11/22,21:58:33,mapreduce.Job:,100%,0%,
4525,22/11/22,21:58:39,mapreduce.Job:,100%,33%,
4526,22/11/22,21:58:41,mapreduce.Job:,100%,100%,
4594,22/11/22,22:01:08,Job:,0%,0%,
4595,22/11/22,22:01:21,Job:,100%,0%,
4596,22/11/22,22:01:30,Job:,100%,67%,
4597,22/11/22,22:01:31,Job:,100%,100%,
4677,22/11/22,22:01:42,Job:,0%,0%,
4678,22/11/22,22:01:54,Job:,100%,0%,
4679,22/11/22,22:02:03,Job:,100%,100%,
4761,22/11/22,22:02:16,Job:,0%,0%,
4762,22/11/22,22:02:27,Job:,100%,0%,
4763,22/11/22,22:02:38,Job:,100%,100%,
4843,22/11/22,22:55:28,Job:,0%,0%,
5006,22/11/22,22:55:56,Job:,100%,100%,
5144,22/11/22,22:56:29,mapreduce.Job:,0%,0%,
5254,22/11/22,22:58:14,Job:,0%,0%,
5255,22/11/22,22:58:25,Job:,100%,0%,
